country,year,sex,age_group,suicides,pop_age_group,suicides_rate,HDI for year, gdp_for_year,gdp_per_capita,unemployment_rate,terciary_rate
Brazil,2013,male,15-24,1317,17627508,7.47,0.752,2.47281E+12,13191,13.2,46.81655
Brazil,2013,female,25-54,1290,44967592,2.868732664,0.752,2.47281E+12,13191,7,46.81655
Brazil,2013,male,25-54,5057,43499373,11.62545492,0.752,2.47281E+12,13191,4.3,46.81655
Brazil,2014,female,15-24,371,17094729,2.17,0.755,2.45599E+12,12975,19.6,49.91353
Brazil,2014,male,15-24,1358,17606681,7.71,0.755,2.45599E+12,12975,13.3,49.91353
Brazil,2014,female,25-54,1328,45511051,2.917972604,0.755,2.45599E+12,12975,6.6,49.91353
Brazil,2014,male,25-54,5032,44076708,11.41646059,0.755,2.45599E+12,12975,4.3,49.91353
Brazil,2015,female,15-24,397,17047218,2.33,,1.80221E+12,9431,24.4,51.05413
Brazil,2015,male,15-24,1389,17569045,7.91,,1.80221E+12,9431,17.1,51.05413
Brazil,2015,female,25-54,1376,46007945,2.990787787,,1.80221E+12,9431,8.1,51.05413
Brazil,2015,male,25-54,5135,44615039,11.50957192,,1.80221E+12,9431,5.6,51.05413
Canada,2000,female,15-24,112,2030972,5.51,0.867,7.42293E+11,25589,11.4,59.11446
Canada,2000,male,15-24,430,2131117,20.18,0.867,7.42293E+11,25589,13.8,59.11446
Canada,2000,female,25-54,512,7008051,7.305882905,0.867,7.42293E+11,25589,5.8,59.11446
Canada,2000,male,25-54,1738,7066981,24.59324569,0.867,7.42293E+11,25589,5.7,59.11446
Canada,2010,female,15-24,115,2239759,5.13,0.903,1.61346E+12,49974,12.5,61.65585
Canada,2010,male,15-24,371,2357806,15.73,0.903,1.61346E+12,49974,17.3,61.65585
Canada,2010,female,25-54,556,7380810,7.533048541,0.903,1.61346E+12,49974,6.4,61.65585
Canada,2010,male,25-54,1701,7454953,22.81704526,0.903,1.61346E+12,49974,7.4,61.65585
Canada,2011,female,15-24,135,2248192,6,0.909,1.78865E+12,54841,12.4,63.46732
Canada,2011,male,15-24,364,2356694,15.45,0.909,1.78865E+12,54841,16.1,63.46732
Canada,2011,female,25-54,524,7402228,7.078949743,0.909,1.78865E+12,54841,6,63.46732
Canada,2011,male,25-54,1537,7475064,20.56169686,0.909,1.78865E+12,54841,6.5,63.46732
Canada,2012,female,15-24,137,2255895,6.07,0.91,1.82429E+12,55347,12.7,63.98077
Canada,2012,male,15-24,381,2358461,16.15,0.91,1.82429E+12,55347,16.1,63.98077
Canada,2012,female,25-54,514,7422330,6.925049142,0.91,1.82429E+12,55347,5.8,63.98077
Canada,2012,male,25-54,1624,7487656,21.68903059,0.91,1.82429E+12,55347,6.3,63.98077
Canada,2013,female,15-24,138,2261173,6.1,0.912,1.84263E+12,55310,12.2,65.3323
Canada,2013,male,15-24,300,2362807,12.7,0.912,1.84263E+12,55310,15.2,65.3323
Canada,2013,female,25-54,535,7437431,7.193344046,0.912,1.84263E+12,55310,5.6,65.3323
Canada,2013,male,25-54,1683,7489049,22.4728133,0.912,1.84263E+12,55310,6.1,65.3323
Chile,2000,female,15-24,48,1249702,3.84,0.752,77860932152,5584,31.3,35.3763
Chile,2000,male,15-24,216,1284868,16.81,0.752,77860932152,5584,21.2,35.3763
Chile,2000,female,25-54,108,3194213,3.381114534,0.752,77860932152,5584,9.4,35.3763
Chile,2000,male,25-54,762,3176980,23.9850424,0.752,77860932152,5584,7.6,35.3763
Chile,2005,female,15-24,62,1345647,4.61,0.788,1.22965E+11,8256,30.4,49.36884
Chile,2005,male,15-24,265,1388993,19.08,0.788,1.22965E+11,8256,18.8,49.36884
Chile,2005,female,25-54,157,3424263,4.584928202,0.788,1.22965E+11,8256,9.8,49.36884
Chile,2005,male,25-54,791,3417586,23.14499182,0.788,1.22965E+11,8256,6.2,49.36884
Chile,2010,female,15-24,90,1391250,6.47,0.814,2.18538E+11,13874,21.7,67.86343
Chile,2010,male,15-24,315,1442868,21.83,0.814,2.18538E+11,13874,16.6,67.86343
Chile,2010,female,25-54,228,3606002,6.322791834,0.814,2.18538E+11,13874,8.6,67.86343
